timestamp X Y Z 
5808 352 704 -752
5820 288 592 -416
5832 288 592 -416
5844 192 640 -688
5856 192 640 -784
5868 272 640 -784
5880 288 512 -960
5892 288 464 -1024
5904 288 464 -1024
5916 288 496 -976
5928 288 496 -976
5940 272 496 -944
5952 256 512 -816
5964 256 512 -848
5976 272 512 -848
5988 288 560 -880
6000 288 560 -880
6012 336 528 -928
6024 336 480 -1008
6036 288 480 -1008
6048 320 528 -848
6060 320 528 -848
6072 288 544 -784
6084 368 560 -992
6096 368 560 -992
6102 336 608 -1008
6114 336 608 -656
6132 368 640 -656
6138 400 592 -720
6150 400 592 -832
6162 352 624 -832
6174 352 576 -880
6186 352 576 -832
6198 304 608 -832
6210 304 576 -816
6228 352 576 -848
6240 368 560 -848
6252 400 544 -832
6264 400 544 -832
6276 352 528 -832
6282 304 512 -864
6294 304 512 -864
6306 288 496 -832
6318 288 496 -848
6330 320 480 -848
6342 352 496 -832
6354 352 496 -864
6366 352 512 -864
6378 352 496 -880
6390 336 496 -880
6402 336 480 -880
6414 288 480 -928
6426 288 480 -928
6438 304 448 -928
6450 304 448 -880
6462 256 448 -912
6474 288 432 -912
6486 288 496 -896
6498 288 496 -896
6510 288 480 -896
6522 320 512 -896
6534 304 512 -896
6546 304 464 -928
6558 272 464 -944
6570 288 464 -944
6582 288 464 -944
6594 288 464 -944
6606 304 480 -928
6618 288 464 -912
6630 288 464 -912
6642 256 464 -912
6654 256 432 -928
6666 256 432 -928
6678 256 448 -912
6690 256 448 -912
6702 288 464 -912
6708 304 464 -944
6726 304 496 -944
6738 304 496 -944
6750 288 480 -944
6762 288 448 -960
6774 304 448 -960
6786 256 432 -944
6798 256 432 -944
6810 224 432 -928
6822 288 464 -912
6834 288 464 -944
6846 352 480 -944
6858 352 480 -880
6870 256 432 -880
6876 272 416 -896
6888 272 416 -896
6900 304 400 -896
6912 304 400 -960
6924 304 400 -1024
6936 384 384 -1024
6948 256 432 -912
6960 256 480 -768
6978 336 480 -768
6990 272 368 -720
7002 272 368 -896
7014 352 384 -896
7020 432 400 -928
